eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
316.01,16.18000030517578,4322.0,0.012209080159664154,0.1546630859375,2.2979657649993896,-0.010622949339449406,0.2930820882320404,0.7970906049013138,121.0,30976.0,479.6068137648981,1982464.0
340.21,18.149999618530273,4270.0,0.007519174832850695,0.0940348282456398,2.3079490661621094,-0.012131255120038986,0.27046599984169006,0.8001224547624588,122.0,31232.0,483.44447936094366,1998848.0
343.49,18.520000457763672,4555.0,0.007673697546124458,0.0938313826918602,2.2824745178222656,-0.012456797063350677,0.28758326172828674,0.8097039014101028,123.0,31488.0,487.0423828130588,2015232.0
341.2,18.8700008392334,4302.0,0.010219269432127476,0.1360270231962204,2.281369924545288,-0.012346251867711544,0.25684958696365356,0.8209314197301865,124.0,31744.0,490.8512178279925,2031616.0
369.93,21.639999389648438,4320.0,0.00993629265576601,0.1349080353975296,2.282810926437378,-0.00657592574134469,0.2710132896900177,0.8508360236883163,125.0,32000.0,494.6440460458398,2048000.0
365.52,20.489999771118164,4470.0,0.006850967183709145,0.0818888321518898,2.290505886077881,-0.00870299618691206,0.33160772919654846,0.8119748681783676,126.0,32256.0,498.30981354089454,2064384.0
362.27,19.93000030517578,4574.0,0.006052615121006966,0.07208251953125,2.293065309524536,-0.009870567359030247,0.2865869998931885,0.8189302384853363,127.0,32512.0,501.893498346908,2080768.0
370.47,20.329999923706055,4409.0,0.00666124327108264,0.0772298201918602,2.3323450088500977,-0.010027552954852581,0.2741725742816925,0.7969121038913727,128.0,32768.0,505.61039687599987,2097152.0
366.25,20.329999923706055,4418.0,0.006917344871908426,0.08306884765625,2.313464879989624,-0.009301085956394672,0.3188643455505371,0.8078226000070572,129.0,33024.0,509.3196856258437,2113536.0
357.74,19.969999313354492,4430.0,0.010578367859125137,0.1364949494600296,2.3153445720672607,-0.01241736114025116,0.28010258078575134,0.7620087713003159,130.0,33280.0,513.0198867449071,2129920.0
352.26,19.520000457763672,4514.0,0.009124617092311382,0.1150309219956398,2.2849318981170654,-0.007488988805562258,0.27876678109169006,0.8033749014139175,131.0,33536.0,516.6500890029129,2146304.0
368.9,20.799999237060547,4641.0,0.010184838436543941,0.12841796875,2.2867681980133057,-0.006960347294807434,0.3026364743709564,0.7532000541687012,132.0,33792.0,520.1808471400291,2162688.0
362.07,20.260000228881836,4375.0,0.00529699819162488,0.0576171875,2.290771245956421,-0.008449709974229336,0.28965654969215393,0.7631043493747711,133.0,34048.0,523.9260843149386,2179072.0
380.2,22.059999465942383,4440.0,0.005971542093902826,0.0645751953125,2.2987329959869385,-0.009231352247297764,0.23921476304531097,0.7965385019779205,134.0,34304.0,527.6171633789781,2195456.0
384.12,22.489999771118164,4357.0,0.006103177089244127,0.0711263045668602,2.2897379398345947,-0.00942908227443695,0.27249374985694885,0.7634604722261429,135.0,34560.0,531.3787321879063,2211840.0
373.13,22.020000457763672,4401.0,0.008589308708906174,0.1095987930893898,2.3115246295928955,-0.01031503826379776,0.24179530143737793,0.8047875612974167,136.0,34816.0,535.1022237038705,2228224.0
357.95,20.15999984741211,4372.0,0.007000719662755728,0.0867513045668602,2.313699960708618,-0.009567877277731895,0.2511093318462372,0.8113949447870255,137.0,35072.0,538.8501728249248,2244608.0
360.12,20.110000610351562,4509.0,0.007982573471963406,0.0945231094956398,2.3286845684051514,-0.00968074705451727,0.2658264636993408,0.763328418135643,138.0,35328.0,542.4842141829431,2260992.0
374.12,21.280000686645508,4544.0,0.005310108419507742,0.0598958320915699,2.317275047302246,-0.009969186037778854,0.21900983154773712,0.806805744767189,139.0,35584.0,546.0900342389941,2277376.0
385.42,22.8700008392334,4553.0,0.006943190935999155,0.0796305313706398,2.309295415878296,-0.009235871024429798,0.25602588057518005,0.7541235536336899,140.0,35840.0,549.6891658168752,2293760.0
385.26,22.670000076293945,4193.0,0.007125162985175848,0.0874837264418602,2.3191215991973877,-0.009993844665586948,0.24481253325939178,0.7787039428949356,141.0,36096.0,553.5972590849269,2310144.0
376.28,22.350000381469727,4514.0,0.006186912301927805,0.07421875,2.3205792903900146,-0.009580419398844242,0.23054665327072144,0.792624905705452,142.0,36352.0,557.2276702839881,2326528.0
370.06,22.139999389648438,4451.0,0.006972858216613531,0.0812174454331398,2.3198888301849365,-0.009987235069274902,0.2687789499759674,0.7716978788375854,143.0,36608.0,560.9091247308534,2342912.0
